Data;acd;pesid2;gravidade
02/02/2013;225;34;15,11111111
02/02/2014;215;27;12,55813953
02/02/2015;169;18;10,65088757
02/02/2016;139;19;13,66906475
02/02/2017;134;21;15,67164179
02/02/2018;163;13;7,975460123
02/02/2019;172;19;11,04651163
02/02/2020;190;34;17,89473684
02/03/2007;122;9;7,37704918
02/03/2008;184;25;13,58695652
02/03/2009;130;18;13,84615385
02/03/2010;177;12;6,779661017
02/03/2011;176;16;9,090909091
02/03/2012;187;22;11,76470588
02/03/2013;218;21;9,633027523
02/03/2014;222;36;16,21621622
02/03/2015;164;15;9,146341463
02/03/2016;156;12;7,692307692
02/03/2017;138;15;10,86956522
02/03/2018;165;22;13,33333333
02/03/2019;203;26;12,80788177
02/03/2020;172;17;9,88372093
02/04/2007;110;18;16,36363636
02/04/2008;111;12;10,81081081
02/04/2009;131;11;8,396946565
02/04/2010;200;22;11
02/04/2011;228;21;9,210526316
02/04/2012;158;15;9,493670886
02/04/2013;160;12;7,5
02/04/2014;172;23;13,37209302
02/04/2015;215;14;6,511627907
02/04/2016;208;24;11,53846154
02/04/2017;176;29;16,47727273
02/04/2018;166;8;4,819277108
02/04/2019;125;14;11,2
02/04/2020;79;5;6,329113924
02/05/2007;98;14;14,28571429
02/05/2008;134;17;12,68656716
02/05/2009;175;12;6,857142857
02/05/2010;248;43;17,33870968
02/05/2011;182;25;13,73626374
02/05/2012;159;19;11,94968553
02/05/2013;157;12;7,643312102
02/05/2014;209;26;12,44019139
02/05/2015;193;32;16,58031088
02/05/2016;157;16;10,1910828
02/05/2017;152;7;4,605263158
02/05/2018;151;5;3,311258278
02/05/2019;152;17;11,18421053
02/05/2020;114;15;13,15789474
02/06/2007;167;21;12,5748503
02/06/2008;100;14;14
02/06/2009;132;23;17,42424242
02/06/2010;173;17;9,826589595
02/06/2011;166;18;10,84337349
02/06/2012;234;22;9,401709402
02/06/2013;267;31;11,61048689
02/06/2014;177;21;11,86440678
02/06/2015;170;12;7,058823529
02/06/2016;161;18;11,18012422
02/06/2017;187;20;10,69518717
02/06/2018;176;20;11,36363636
02/06/2019;161;34;21,11801242
02/06/2020;126;12;9,523809524
02/07/2007;123;19;15,44715447
02/07/2008;105;25;23,80952381
02/07/2009;121;18;14,87603306
02/07/2010;222;22;9,90990991
02/07/2011;238;36;15,12605042
02/07/2012;191;20;10,47120419
02/07/2013;153;9;5,882352941
02/07/2014;138;20;14,49275362
02/07/2015;140;16;11,42857143
02/07/2016;205;14;6,829268293
02/07/2017;187;36;19,2513369
